"","Month","Date","#OR","#RT","#Total","#Geo","MaxRt","MDRT","MaxLike","MDLike"
"260","02","2020_02_01_19",11539,28256,39795,13,214007,39,35760,0
"261","02","2020_02_01_20",11508,27384,38892,12,191356,32,14813,0
"262","02","2020_02_01_21",16700,40201,56901,10,214042,37,10697,0
"263","02","2020_02_01_22",12823,32554,45377,9,191427,47,5544,0
"264","02","2020_02_01_23",9198,23355,32553,14,191440,48,4006,0
"265","02","2020_02_02_00",10529,27967,38496,17,191452,58,28083,0
"266","02","2020_02_02_01",10723,29325,40048,17,191464,65,43588,0
"267","02","2020_02_02_02",13753,39859,53612,5,191504,105,8800,0
"268","02","2020_02_02_03",8416,29531,37947,5,188959,152,6880,0
"269","02","2020_02_02_04",6743,27532,34275,4,189067,167,1803,0
"270","02","2020_02_02_05",7445,28162,35607,6,191556,141,8667,0
"271","02","2020_02_02_06",7982,30607,38589,4,213943,160,5807,0
"272","02","2020_02_02_07",4650,18119,22769,6,191599,135,5959,0
"273","02","2020_02_02_08",10427,33567,43994,15,287855,102,11019,0
"274","02","2020_02_02_09",5455,18425,23880,0,191627,95,39297,0
"275","02","2020_02_02_10",10912,36525,47437,17,189080,101,10004,0
"276","02","2020_02_02_11",6465,19876,26341,7,191666,88,73698,0
"277","02","2020_02_02_12",10729,33142,43871,8,189090,87,20802,0
"278","02","2020_02_02_13",9302,29398,38700,21,287790,77,12185,0
"279","02","2020_02_02_14",8055,27265,35320,6,191734,98,4710,0
"280","02","2020_02_02_15",8459,28364,36823,4,191749,96,2999,0
"281","02","2020_02_02_16",9236,30023,39259,18,287971,106,3598,0
"282","02","2020_02_02_17",10739,32706,43445,9,287961,84,5399,0
"283","02","2020_02_02_18",7465,21425,28890,1,191796,73,11457,0
"284","02","2020_02_02_19",10782,27371,38153,9,191815,53,15713,0
"285","02","2020_02_02_20",14560,34092,48652,15,287752,40,54232,0
"286","02","2020_02_02_21",11578,30854,42432,10,191846,54,11324,0
"287","02","2020_02_02_22",10921,31654,42575,11,214049,68,16684,0
"288","02","2020_02_02_23",9518,29504,39022,7,191879,84,10904,0
"289","02","2020_02_03_00",9939,29184,39123,15,290939,74,3029,0
"290","02","2020_02_03_01",9493,30012,39505,7,191930,74,10127,0
"291","02","2020_02_03_02",9994,30079,40073,7,191944,70,4936,0
"292","02","2020_02_03_03",8079,24026,32105,3,191958,65,1639,0
"293","02","2020_02_03_04",7915,22688,30603,5,188943,57,4451,0
"294","02","2020_02_03_05",13061,37102,50163,19,191982,64,7918,0
"295","02","2020_02_03_06",11721,32890,44611,14,83211,57,25585,0
"296","02","2020_02_03_07",7565,19554,27119,11,191998,40,8394,0
"297","02","2020_02_03_08",10159,22576,32735,10,191998,33,5716,0
"298","02","2020_02_03_09",10239,25897,36136,4,189108,45,9375,0
"299","02","2020_02_03_10",10299,26333,36632,13,287940,43,6563,0
"300","02","2020_02_03_11",11432,28887,40319,10,192027,44,9028,0
"301","02","2020_02_03_12",12733,31838,44571,14,213971,40,31138,0
"302","02","2020_02_03_13",11889,30375,42264,12,192039,44,7254,0
"303","02","2020_02_03_14",8398,23329,31727,7,192058,58,3042,0
"304","02","2020_02_03_15",11359,30153,41512,7,192073,52,8225,0
"305","02","2020_02_03_16",9838,27347,37185,7,287959,56,5106,0
"306","02","2020_02_03_17",13443,34863,48306,7,192099,46,3091,0
"307","02","2020_02_03_18",11399,28073,39472,7,287745,38,3269,0
"308","02","2020_02_03_19",10291,23549,33840,6,192138,27,37842,0
"309","02","2020_02_03_20",10519,23270,33789,7,214010,23,2855,0
"310","02","2020_02_03_21",17903,40417,58320,20,192153,25,58432,0
"311","02","2020_02_03_22",8525,21819,30344,9,287917,38,3210,0
"312","02","2020_02_03_23",8461,20977,29438,5,213964,40,7381,0
"313","02","2020_02_04_00",13732,34895,48627,14,192189,39,5597,0
"314","02","2020_02_04_01",12652,33354,46006,21,150112,47,49881,0
"315","02","2020_02_04_02",7849,20761,28610,14,189062,45,5428,0
"316","02","2020_02_04_03",9319,24654,33973,15,192220,44,18248,0
"317","02","2020_02_04_04",16121,42340,58461,17,192231,43,3687,0
"318","02","2020_02_04_05",5569,14762,20331,2,72285,39,4372,0
"319","02","2020_02_04_06",17184,42661,59845,23,192239,41,6209,0
"320","02","2020_02_04_07",5849,14828,20677,7,192248,37,1213,0
"321","02","2020_02_04_08",19511,42764,62275,13,192261,32,5968,0
"322","02","2020_02_04_09",4194,10618,14812,8,192262,38,10194,0
"323","02","2020_02_04_10",16008,39213,55221,19,213978,39,3119,0
"324","02","2020_02_04_11",12897,33279,46176,12,150082,42,4490,0
"325","02","2020_02_04_12",11246,27250,38496,14,192292,32,21625,0
"326","02","2020_02_04_13",12278,29220,41498,13,287904,32,12010,0
"327","02","2020_02_04_14",12047,29270,41317,7,192314,33,19814,0
"328","02","2020_02_04_15",12716,31147,43863,15,153531,36,67205,0
"329","02","2020_02_04_16",13035,31353,44388,18,192321,28,28411,0
"330","02","2020_02_04_17",10232,23309,33541,10,189108,23,10345,0
"331","02","2020_02_04_18",14641,33051,47692,23,189061,23,5398,0
"332","02","2020_02_04_19",11452,25605,37057,13,192336,23,2832,0
"333","02","2020_02_04_20",15158,32904,48062,18,189099,19,5894,0
"334","02","2020_02_04_21",16546,34678,51224,13,80990,17,31496,0
"335","02","2020_02_04_22",8568,20347,28915,13,192349,26,11811,0
"336","02","2020_02_04_23",16165,39818,55983,17,192352,33,9001,0
"337","02","2020_02_05_00",8572,21549,30121,9,192363,34,8387,0
"338","02","2020_02_05_01",13848,33837,47685,32,153549,38,5025,0
"339","02","2020_02_05_02",10691,31211,41902,12,287904,68,12858,0
"340","02","2020_02_05_03",6295,18877,25172,5,192370,74,4012,0
"341","02","2020_02_05_04",14484,42159,56643,18,189088,75,26071,0
"342","02","2020_02_05_05",6151,17939,24090,11,213911,81,2479,0
"343","02","2020_02_05_06",12013,34711,46724,17,192382,74,6876,0
"344","02","2020_02_05_07",10481,27771,38252,20,189088,50,7679,0
"345","02","2020_02_05_08",10070,23723,33793,14,153548,37,3107,0
"346","02","2020_02_05_09",10321,25683,36004,7,192392,40,37151,0
"347","02","2020_02_05_10",11614,31375,42989,6,192393,51,7206,0
"348","02","2020_02_05_11",7296,18311,25607,9,192395,33,2961,0
"349","02","2020_02_05_12",8335,20660,28995,12,319398,32,2777,0
"350","02","2020_02_05_13",12559,29336,41895,13,188921,29,27013,0
"351","02","2020_02_05_14",11459,26873,38332,4,153612,29,2776,0
"352","02","2020_02_05_15",11963,28641,40604,13,213945,34,50074,0
"353","02","2020_02_05_16",16578,37554,54132,15,192399,28,29272,0
"354","02","2020_02_05_17",9130,19703,28833,9,189068,20,8965,0
"355","02","2020_02_05_18",19654,39309,58963,18,213882,15,4956,0
"356","02","2020_02_05_19",9884,19093,28977,10,189074,12,19008,0
"357","02","2020_02_05_20",12869,24404,37273,5,192341,12,35115,0
"358","02","2020_02_05_21",16773,32636,49409,16,287997,12,7259,0
"359","02","2020_02_05_22",16742,34611,51353,19,213968,17,3356,0
"360","02","2020_02_05_23",7224,15849,23073,10,189061,21,10235,0
"361","02","2020_02_06_00",12332,30144,42476,14,188928,35,68238,0
"362","02","2020_02_06_01",13211,31177,44388,19,213971,32,6617,0
"363","02","2020_02_06_02",5384,13114,18498,9,150142,41,1947,0
"364","02","2020_02_06_03",15165,37602,52767,18,189068,38,68708,0
"365","02","2020_02_06_04",4446,9814,14260,5,188927,32,19080,0
"366","02","2020_02_06_05",14282,35069,49351,24,188904,41,7784,0
"367","02","2020_02_06_06",13305,32342,45647,21,189059,36,5880,0
"368","02","2020_02_06_07",13325,32057,45382,22,189108,31,4789,0
"369","02","2020_02_06_08",15732,31223,46955,7,188913,20,3972,0
"370","02","2020_02_06_09",1095,2061,3156,0,44532,21,1169,0
"371","02","2020_02_06_10",15437,36000,51437,25,189083,34,55885,0
"372","02","2020_02_06_11",8669,18887,27556,10,150112,30,24131,0
"373","02","2020_02_06_12",15066,34612,49678,26,93821,28,5149,0
"374","02","2020_02_06_13",8535,18705,27240,9,182504,28,54078,0
"375","02","2020_02_06_14",9882,21728,31610,8,150120,32,3932,0
"376","02","2020_02_06_15",11530,28177,39707,10,188944,45,18398,0
"377","02","2020_02_06_16",6946,16851,23797,4,188905,49,3034,0
"378","02","2020_02_06_17",15450,33337,48787,12,189110,27,4930,0
"379","02","2020_02_06_18",14637,31673,46310,25,93845,24,20074,0
"380","02","2020_02_06_19",16441,35301,51742,19,188953,22,17359,0
"381","02","2020_02_06_20",7427,17239,24666,5,93871,28,12355,0
"382","02","2020_02_06_21",15299,34314,49613,20,213925,29,8428,0
"383","02","2020_02_06_22",11767,27772,39539,12,189072,36,10790,0
"384","02","2020_02_06_23",13764,33282,47046,15,214046,37,9769,0
"385","02","2020_02_07_00",8220,20893,29113,21,182555,47,9529,0
"386","02","2020_02_07_01",11381,26966,38347,29,188908,39,230858,0
"387","02","2020_02_07_02",12832,32051,44883,19,188925,43,21219,0
"388","02","2020_02_07_03",6747,16666,23413,6,189066,40,2498,0
"389","02","2020_02_07_04",14574,37113,51687,12,182612,49,5239,0
"390","02","2020_02_07_05",14078,35083,49161,26,213927,44,10728,0
"391","02","2020_02_07_06",5005,15412,20417,8,150111,96,9631,0
"392","02","2020_02_07_07",7177,20461,27638,13,93859,78,8919,0
"393","02","2020_02_07_08",13009,34774,47783,17,182530,75,14268,0
"394","02","2020_02_07_09",7154,19869,27023,6,150178,78,22327,0
"395","02","2020_02_07_10",7373,20736,28109,12,189109,80,4760,0
"396","02","2020_02_07_11",8671,24847,33518,11,189062,85,3959,0
"397","02","2020_02_07_12",10137,27560,37697,17,150143,64,7933,0
