"","V1","V2","V3","V4","total"
"325","2020",3,"4","#coronavirusoutbreak",14831
"326","2020",3,"5","#coronavirus",134814
"327","2020",3,"5","#covid19",37661
"328","2020",3,"5","#covid<u+30fc>19",24049
"329","2020",3,"5","#coronvirus",7154
"330","2020",3,"5","#china",5700
"331","2020",3,"6","#coronavirus",192463
"332","2020",3,"6","#covid<u+30fc>19",83377
"333","2020",3,"6","#covid19",40269
"334","2020",3,"6","#coronavirusoutbreak",8925
"335","2020",3,"6","#corona",5985
"336","2020",3,"7","#coronavirus",140005
"337","2020",3,"7","#covid<u+30fc>19",95925
"338","2020",3,"7","#covid19",60666
"339","2020",3,"7","#corona",5387
"340","2020",3,"7","#china",5198
"341","2020",3,"8","#coronavirus",116668
"342","2020",3,"8","#covid19",82091
"343","2020",3,"8","#covid<u+30fc>19",25409
"344","2020",3,"8","#covid2019",5082
"345","2020",3,"8","#china",4473
"346","2020",3,"9","#coronavirus",117557
"347","2020",3,"9","#covid19",65360
"348","2020",3,"9","#covid2019",13004
"349","2020",3,"9","#covid<u+30fc>19",10323
"350","2020",3,"9","#coronavirusoutbreak",6256
"351","2020",4,"1","#covid19",130667
"352","2020",4,"1","#coronavirus",116016
"353","2020",4,"1","#covid<u+30fc>19",37128
"354","2020",4,"1","#stayathome",10144
"355","2020",4,"1","#covid",9894
"356","2020",4,"10","#covid19",177394
"357","2020",4,"10","#coronavirus",173679
"358","2020",4,"10","#covid<u+30fc>19",43403
"359","2020",4,"10","#stayhome",22717
"360","2020",4,"10","#covid",19873
"361","2020",4,"11","#covid19",196069
"362","2020",4,"11","#coronavirus",161824
"363","2020",4,"11","#covid<u+30fc>19",38359
"364","2020",4,"11","#stayhome",26280
"365","2020",4,"11","#covid",17246
"366","2020",4,"12","#covid19",210992
"367","2020",4,"12","#coronavirus",153303
"368","2020",4,"12","#china",64030
"369","2020",4,"12","#stayhome",27671
"370","2020",4,"12","#nnevvy",18571
"371","2020",4,"13","#covid19",212093
"372","2020",4,"13","#coronavirus",161866
"373","2020",4,"13","#china",38949
"374","2020",4,"13","#stayhome",19846
"375","2020",4,"13","#covid2019",17763
"376","2020",4,"14","#covid19",203460
"377","2020",4,"14","#coronavirus",165476
"378","2020",4,"14","#c",21423
"379","2020",4,"14","#stayhome",20832
"380","2020",4,"14","#covid",17169
"381","2020",4,"15","#covid19",224478
"382","2020",4,"15","#coronavirus",163044
"383","2020",4,"15","#stayhome",18518
"384","2020",4,"15","#covid",16166
"385","2020",4,"15","#china",12706
"386","2020",4,"16","#covid19",259902
"387","2020",4,"16","#coronavirus",166402
"388","2020",4,"16","#covid",20274
"389","2020",4,"16","#stayhome",18630
"390","2020",4,"16","#lockdown",15631
"391","2020",4,"17","#covid19",247528
"392","2020",4,"17","#coronavirus",150517
"393","2020",4,"17","#stayhome",19153
"394","2020",4,"17","#covid",17811
"395","2020",4,"17","#lockdown",11524
"396","2020",4,"18","#covid19",225028
"397","2020",4,"18","#coronavirus",148337
"398","2020",4,"18","#covid",32618
"399","2020",4,"18","#stayhome",25051
"400","2020",4,"18","#togetherathome",23399
"401","2020",4,"19","#covid19",193251
"402","2020",4,"19","#coronavirus",154970
"403","2020",4,"19","#togetherathome",62167
"404","2020",4,"19","#covid",38543
"405","2020",4,"19","#stayhome",21266
"406","2020",4,"2","#coronavirus",182185
"407","2020",4,"2","#covid19",166470
"408","2020",4,"2","#covid<u+30fc>19",42470
"409","2020",4,"2","#covid",15945
"410","2020",4,"2","#corona",13706
"411","2020",4,"20","#covid19",189642
"412","2020",4,"20","#coronavirus",159815
"413","2020",4,"20","#stayhome",28562
"414","2020",4,"20","#covid<u+30fc>19",28440
"415","2020",4,"20","#covid",22435
"416","2020",4,"21","#covid19",79539
"417","2020",4,"21","#coronavirus",36854
"418","2020",4,"21","#covid<u+30fc>19",20167
"419","2020",4,"21","#stayhome",17150
"420","2020",4,"21","#lockdown",7682
"421","2020",4,"22","#covid19",189029
"422","2020",4,"22","#coronavirus",159816
"423","2020",4,"22","#covid<u+30fc>19",31370
"424","2020",4,"22","#stayhome",21500
"425","2020",4,"22","#covid",20860
"426","2020",4,"23","#covid19",217425
"427","2020",4,"23","#coronavirus",150666
"428","2020",4,"23","#stayhome",24637
"429","2020",4,"23","#covid",16367
"430","2020",4,"23","#covid<u+30fc>19",12947
"431","2020",4,"24","#covid19",255695
"432","2020",4,"24","#coronavirus",177554
"433","2020",4,"24","#stayhome",27914
"434","2020",4,"24","#covid",22458
"435","2020",4,"24","#trump",12783
"436","2020",4,"25","#covid19",292529
"437","2020",4,"25","#coronavirus",153685
"438","2020",4,"25","#covid",30095
"439","2020",4,"25","#stayhome",27275
"440","2020",4,"25","#lockdown",19149
"441","2020",4,"26","#covid19",273662
"442","2020",4,"26","#coronavirus",172220
"443","2020",4,"26","#stayhome",31717
"444","2020",4,"26","#covid",21966
"445","2020",4,"26","#lockdown",20396
"446","2020",4,"27","#covid19",261839
"447","2020",4,"27","#coronavirus",177464
"448","2020",4,"27","#stayhome",29912
"449","2020",4,"27","#covid",23382
"450","2020",4,"27","#lockdown",21171
"451","2020",4,"28","#covid19",197878
"452","2020",4,"28","#coronavirus",137120
"453","2020",4,"28","#stayhome",23152
"454","2020",4,"28","#covid",20260
"455","2020",4,"28","#lockdown",13519
"456","2020",4,"29","#covid19",167283
"457","2020",4,"29","#coronavirus",97553
"458","2020",4,"29","#stayhome",23266
"459","2020",4,"29","#covid",11636
"460","2020",4,"29","#lockdown",9507
"461","2020",4,"3","#covid19",178027
"462","2020",4,"3","#coronavirus",162811
"463","2020",4,"3","#covid<u+30fc>19",25978
"464","2020",4,"3","#covid",14282
"465","2020",4,"3","#covid19pandemic",11957
"466","2020",4,"30","#covid19",243256
"467","2020",4,"30","#coronavirus",153028
"468","2020",4,"30","#covid",25084
"469","2020",4,"30","#stayhome",24435
"470","2020",4,"30","#lockdown",13629
"471","2020",4,"4","#covid19",195650
"472","2020",4,"4","#coronavirus",173367
"473","2020",4,"4","#covid2019",19947
"474","2020",4,"4","#stayhome",14382
"475","2020",4,"4","#covid",11761
"476","2020",4,"5","#covid19",197307
"477","2020",4,"5","#coronavirus",184632
"478","2020",4,"5","#covid2019",19169
"479","2020",4,"5","#stayhome",16028
"480","2020",4,"5","#covid",14110
"481","2020",4,"6","#covid19",267777
"482","2020",4,"6","#coronavirus",167608
"483","2020",4,"6","#covid",14230
"484","2020",4,"6","#stayhome",13949
"485","2020",4,"6","#hydroxychloroquine",12162
"486","2020",4,"7","#covid19",239124
"487","2020",4,"7","#coronavirus",166829
"488","2020",4,"7","#worldhealthday",25956
"489","2020",4,"7","#covid",14939
"490","2020",4,"7","#stayhome",13592
"491","2020",4,"8","#covid19",162393
"492","2020",4,"8","#coronavirus",120989
"493","2020",4,"8","#covid",18376
"494","2020",4,"8","#stayhome",17770
"495","2020",4,"8","#covid<u+30fc>19",14324
"496","2020",4,"9","#covid19",130251
"497","2020",4,"9","#coronavirus",101027
"498","2020",4,"9","#covid<u+30fc>19",28149
"499","2020",4,"9","#covid",18577
"500","2020",4,"9","#stayhome",16226
"501","2020",5,"1","#covid19",219044
"502","2020",5,"1","#coronavirus",141085
"503","2020",5,"1","#stayhome",30047
"504","2020",5,"1","#covid",27478
"505","2020",5,"1","#lockdown",19338
"506","2020",5,"10","#covid19",236959
"507","2020",5,"10","#coronavirus",187288
"508","2020",5,"10","#stayhome",28328
"509","2020",5,"10","#covid",23296
"510","2020",5,"10","#lockdown",15078
"511","2020",5,"11","#covid19",241943
"512","2020",5,"11","#coronavirus",192110
"513","2020",5,"11","#covid",26757
"514","2020",5,"11","#stayhome",19112
"515","2020",5,"11","#lockdown",16645
"516","2020",5,"12","#covid19",213259
"517","2020",5,"12","#coronavirus",161483
"518","2020",5,"12","#covid",29046
"519","2020",5,"12","#siagalawancovid19",24043
"520","2020",5,"12","#covid<u+30fc>19",18574
"521","2020",5,"13","#covid19",204860
"522","2020",5,"13","#coronavirus",163272
"523","2020",5,"13","#covid<u+30fc>19",37724
"524","2020",5,"13","#covid",22392
"525","2020",5,"13","#dirumahaja",16641
"526","2020",5,"14","#covid19",213809
"527","2020",5,"14","#coronavirus",161831
"528","2020",5,"14","#covid<u+30fc>19",28014
"529","2020",5,"14","#covid",26600
"530","2020",5,"14","#stayhome",13911
"531","2020",5,"15","#covid19",218579
"532","2020",5,"15","#coronavirus",175942
"533","2020",5,"15","#covid",33544
"534","2020",5,"15","#sembakopolripeduli",17453
"535","2020",5,"15","#covid<u+30fc>19",17182
"536","2020",5,"16","#covid19",211625
"537","2020",5,"16","#coronavirus",169824
"538","2020",5,"16","#covid",27790
"539","2020",5,"16","#stayhome",19340
"540","2020",5,"16","#lockdown",16064
"541","2020",5,"17","#covid19",206386
"542","2020",5,"17","#coronavirus",142236
"543","2020",5,"17","#covid",47862
"544","2020",5,"17","#lockdown",21220
"545","2020",5,"17","#stayhome",15445
"546","2020",5,"18","#covid19",240225
"547","2020",5,"18","#coronavirus",160949
"548","2020",5,"18","#covid",29799
"549","2020",5,"18","#polriberbagikasih",28866
"550","2020",5,"18","#lockdown",12479
"551","2020",5,"19","#covid19",271483
"552","2020",5,"19","#coronavirus",162055
"553","2020",5,"19","#covid",25873
"554","2020",5,"19","#patuhiprotokolcovid19",19909
"555","2020",5,"19","#hydroxychloroquine",15926
"556","2020",5,"2","#covid19",257244
"557","2020",5,"2","#coronavirus",153811
"558","2020",5,"2","#stayhome",35250
"559","2020",5,"2","#covid",26671
"560","2020",5,"2","#lockdown",17333
"561","2020",5,"20","#covid19",276426
"562","2020",5,"20","#coronavirus",153136
"563","2020",5,"20","#covid",26617
"564","2020",5,"20","#opsketupatcegahcovid19",17802
"565","2020",5,"20","#stayhome",11959
"566","2020",5,"21","#covid19",257835
"567","2020",5,"21","#coronavirus",156207
"568","2020",5,"21","#covid",25188
"569","2020",5,"21","#wuhancoronavirus",16227
"570","2020",5,"21","#heels",15795
"571","2020",5,"22","#covid19",201973
"572","2020",5,"22","#coronavirus",157673
"573","2020",5,"22","#covid<u+30fc>19",28439
"574","2020",5,"22","#covid",24115
"575","2020",5,"22","#dirumahajalebihbaik",23498
"576","2020",5,"23","#covid19",150110
"577","2020",5,"23","#coronavirus",122127
"578","2020",5,"23","#covid<u+30fc>19",36956
"579","2020",5,"23","#covid",23556
"580","2020",5,"23","#stayhome",14588
"581","2020",5,"24","#covid19",140544
"582","2020",5,"24","#coronavirus",113513
"583","2020",5,"24","#covid",26258
"584","2020",5,"24","#covid<u+30fc>19",25883
"585","2020",5,"24","#stayhome",16721
"586","2020",5,"25","#covid19",164358
"587","2020",5,"25","#coronavirus",137824
"588","2020",5,"25","#covid",23029
"589","2020",5,"25","#covid<u+30fc>19",22949
"590","2020",5,"25","#lockdown",11836
"591","2020",5,"26","#covid19",213382
"592","2020",5,"26","#coronavirus",138112
"593","2020",5,"26","#covid",29269
"594","2020",5,"26","#lockdown",14523
"595","2020",5,"26","#covid<u+30fc>19",11943
"596","2020",5,"27","#covid19",230826
"597","2020",5,"27","#coronavirus",124158
"598","2020",5,"27","#covid",30019
"599","2020",5,"27","#lockdown",10938
"600","2020",5,"27","#tundabalikkejakarta",9029
"601","2020",5,"28","#covid19",198431
"602","2020",5,"28","#coronavirus",123622
"603","2020",5,"28","#executiveorder",33085
"604","2020",5,"28","#covid",27055
"605","2020",5,"28","#lockdown",8361
"606","2020",5,"29","#covid19",197984
"607","2020",5,"29","#coronavirus",133482
"608","2020",5,"29","#covid",23753
"609","2020",5,"29","#executiveorder",13532
"610","2020",5,"29","#lockdown",10951
"611","2020",5,"3","#covid19",214307
"612","2020",5,"3","#coronavirus",143461
"613","2020",5,"3","#stayhome",32999
"614","2020",5,"3","#covid",24193
"615","2020",5,"3","#covid<u+30fc>19",18634
"616","2020",5,"30","#covid19",157347
"617","2020",5,"30","#coronavirus",127311
"618","2020",5,"30","#covid",25081
"619","2020",5,"30","#minneapolisriot",16472
"620","2020",5,"30","#lockdown",12684
"621","2020",5,"31","#covid19",142669
"622","2020",5,"31","#coronavirus",115159
"623","2020",5,"31","#rgpvspreadingcoronavirus",92426
"624","2020",5,"31","#anonymous",26307
"625","2020",5,"31","#kiitkissfightscovid19",25710
"626","2020",5,"4","#covid19",194242
"627","2020",5,"4","#coronavirus",153624
"628","2020",5,"4","#covid<u+30fc>19",49019
"629","2020",5,"4","#stayhome",27540
"630","2020",5,"4","#covid",22645
"631","2020",5,"5","#covid19",138762
"632","2020",5,"5","#coronavirus",46486
"633","2020",5,"5","#covid<u+30fc>19",29725
"634","2020",5,"5","#stayhome",24762
"635","2020",5,"5","#covid",17268
"636","2020",5,"6","#covid19",231502
"637","2020",5,"6","#coronavirus",143828
"638","2020",5,"6","#stayhome",23043
"639","2020",5,"6","#covid",22142
"640","2020",5,"6","#covid<u+30fc>19",18530
"641","2020",5,"7","#covid19",284627
"642","2020",5,"7","#coronavirus",168722
"643","2020",5,"7","#covid",23998
"644","2020",5,"7","#stayhome",21577
"645","2020",5,"7","#lockdown",16264
"646","2020",5,"8","#covid19",276762
"647","2020",5,"8","#coronavirus",152173
"648","2020",5,"8","#stayhome",27133
"649","2020",5,"8","#covid",21544
"650","2020",5,"8","#lockdown",17417
"651","2020",5,"9","#covid19",259887
"652","2020",5,"9","#coronavirus",159213
"653","2020",5,"9","#truebloodpump",33378
"654","2020",5,"9","#partisipasicegahcovid19",27687
"655","2020",5,"9","#covid",24490
"656","2020",6,"1","#covid19",160582
"657","2020",6,"1","#coronavirus",118173
"658","2020",6,"1","#ebola",29569
"659","2020",6,"1","#anonymous",25415
"660","2020",6,"1","#covid",17324
"661","2020",6,"10","#covid19",422231
"662","2020",6,"10","#coronavirus",147983
"663","2020",6,"10","#exigimosinsumosdecalidad",45934
"664","2020",6,"10","#covid",33284
"665","2020",6,"10","#lockdown",21325
"666","2020",6,"11","#covid19",437285
"667","2020",6,"11","#coronavirus",141858
"668","2020",6,"11","#covid",34011
"669","2020",6,"11","#m�dicosenpeligro",29440
"670","2020",6,"11","#lockdown",20152
"671","2020",6,"12","#covid19",397510
