"","V4","total"
"301","#sputnikvparalavida",8960
"302","#happyrakshabandhan",8887
"303","#merrychristmas",8348
"304","#navidadenfamilia",8229
"305","#iran",7784
"306","#coronarovirus",7610
"307","#wuhanpneumonia",7294
"308","#coronavirusitalia",7276
"309","#coronvirus",7154
"310","#coronapocalypse",6773
"311","#coronavirius",6691
"312","#italy",6037
"313","#coronaviruschina",5761
"314","#letsbeatcoronatogether",5691
"315","#liwenliang",5616
"316","#deathsantis",5306
"317","#equalityforturkishstudents",3860
"318","#bayern3racist",2533
"319","#covid19italia",1141
