"","Geo_Location","Date_Created"
"589484","{type: Point, coordinates: [18.0419197, -76.8104087]}","Wed Feb 05 14:28:32 +0000 2020"
"595787","{type: Point, coordinates: [18.4596876, -69.9485084]}","Wed Feb 05 17:44:33 +0000 2020"
"595797","{type: Point, coordinates: [18.4596876, -69.9485084]}","Wed Feb 05 17:44:34 +0000 2020"
"604570","{type: Point, coordinates: [40.01709786, 116.52099609]}","Wed Feb 05 22:16:32 +0000 2020"
"604573","{type: Point, coordinates: [40.01709786, 116.52099609]}","Wed Feb 05 22:16:33 +0000 2020"
"604781","{type: Point, coordinates: [37.71235651, -122.40294686]}","Wed Feb 05 22:30:32 +0000 2020"
"606265","{type: Point, coordinates: [40.01709786, 116.52099609]}","Wed Feb 05 23:16:03 +0000 2020"
"606269","{type: Point, coordinates: [40.01709786, 116.52099609]}","Wed Feb 05 23:16:04 +0000 2020"
"611593","{type: Point, coordinates: [13.76598429, 100.67705078]}","Thu Feb 06 07:02:32 +0000 2020"
"619353","{type: Point, coordinates: [-27.89915353, 153.31553575]}","Thu Feb 06 01:17:12 +0000 2020"
"620211","{type: Point, coordinates: [40.01709786, 116.52099609]}","Thu Feb 06 00:15:31 +0000 2020"
"623047","{type: Point, coordinates: [13.76598429, 100.67705078]}","Thu Feb 06 07:02:31 +0000 2020"
"638418","{type: Point, coordinates: [30.52502419, 114.35014953]}","Thu Feb 06 23:23:58 +0000 2020"
"642727","{type: Point, coordinates: [-7.799243, 110.366643]}","Thu Feb 06 17:51:52 +0000 2020"
"644851","{type: Point, coordinates: [30.594726, 114.26163725]}","Thu Feb 06 07:33:16 +0000 2020"
"645258","{type: Point, coordinates: [28.23182582, -82.38931473]}","Thu Feb 06 02:02:50 +0000 2020"
"645821","{type: Point, coordinates: [51.50013926, -0.12450144]}","Thu Feb 06 07:02:32 +0000 2020"
"648762","{type: Point, coordinates: [45.48138889, 9.17666667]}","Thu Feb 06 06:48:21 +0000 2020"
"649219","{type: Point, coordinates: [45.6677507, -73.47935661]}","Thu Feb 06 12:05:02 +0000 2020"
"651891","{type: Point, coordinates: [52.232222, 21.008333]}","Thu Feb 06 18:37:08 +0000 2020"
"652418","{type: Point, coordinates: [40.01709786, 116.52099609]}","Thu Feb 06 00:15:32 +0000 2020"
"655888","{type: Point, coordinates: [52.232222, 21.008333]}","Fri Feb 07 12:30:17 +0000 2020"
"656325","{type: Point, coordinates: [40.7142, -74.0064]}","Fri Feb 07 22:48:39 +0000 2020"
"658506","{type: Point, coordinates: [40.7555, -73.86502484]}","Fri Feb 07 05:28:44 +0000 2020"
"666377","{type: Point, coordinates: [45.63697547, -73.56726563]}","Fri Feb 07 02:56:03 +0000 2020"
"669088","{type: Point, coordinates: [8.433, -82.451]}","Fri Feb 07 22:17:23 +0000 2020"
"681721","{type: Point, coordinates: [18.4596876, -69.9485084]}","Fri Feb 07 14:45:03 +0000 2020"
"684645","{type: Point, coordinates: [8.433, -82.451]}","Fri Feb 07 02:10:53 +0000 2020"
"685351","{type: Point, coordinates: [37.7485909, -122.4190191]}","Fri Feb 07 05:26:32 +0000 2020"
"688208","{type: Point, coordinates: [45.63697547, -73.56726563]}","Fri Feb 07 02:56:03 +0000 2020"
"692598","{type: Point, coordinates: [22.15830263, -80.44297728]}","Fri Feb 07 10:14:04 +0000 2020"
"693178","{type: Point, coordinates: [14.56579, 121.0345]}","Fri Feb 07 06:02:19 +0000 2020"
"695054","{type: Point, coordinates: [53.48485669, -2.23643551]}","Fri Feb 07 11:13:45 +0000 2020"
"697199","{type: Point, coordinates: [-34.905, -56.1683]}","Fri Feb 07 03:10:14 +0000 2020"
"701357","{type: Point, coordinates: [39.9289, 116.388]}","Sat Feb 08 02:03:09 +0000 2020"
"708169","{type: Point, coordinates: [22.79377445, 114.70570581]}","Sat Feb 08 05:34:20 +0000 2020"
"709338","{type: Point, coordinates: [8.96389499, 7.42936372]}","Sat Feb 08 06:05:32 +0000 2020"
"710284","{type: Point, coordinates: [37.00748198, -121.57053318]}","Sat Feb 08 06:35:33 +0000 2020"
"714710","{type: Point, coordinates: [37.9034, 127.061]}","Sat Feb 08 08:51:40 +0000 2020"
"720074","{type: Point, coordinates: [-6.23269364, 106.81042769]}","Sat Feb 08 11:51:30 +0000 2020"
"729333","{type: Point, coordinates: [47.50363159, 8.55037294]}","Sat Feb 08 16:38:24 +0000 2020"
"749685","{type: Point, coordinates: [35.0, 136.0]}","Sun Feb 09 03:26:47 +0000 2020"
