Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1312193110751940611,in,NO,YES,0,20,"",Sat Oct 03 00:49:51 +0000 2020
1312193568866361345,in,NO,NO,1,0,"",Sat Oct 03 00:51:40 +0000 2020
1312193632913432577,in,NO,YES,0,63,"",Sat Oct 03 00:51:56 +0000 2020
1312193671484243968,in,NO,YES,0,3,"",Sat Oct 03 00:52:05 +0000 2020
1312193675598852097,in,NO,YES,0,64,"",Sat Oct 03 00:52:06 +0000 2020
1312193681831550977,in,NO,YES,0,64,"",Sat Oct 03 00:52:07 +0000 2020
1312193729394962433,in,NO,YES,0,63,"",Sat Oct 03 00:52:19 +0000 2020
1312193980864495616,in,NO,YES,0,1417,"",Sat Oct 03 00:53:19 +0000 2020
1312193980994478080,in,NO,YES,0,1417,"",Sat Oct 03 00:53:19 +0000 2020
1312193987109740544,in,NO,NO,10,6,"",Sat Oct 03 00:53:20 +0000 2020
1312194043980378116,in,NO,YES,0,6,"",Sat Oct 03 00:53:34 +0000 2020
1312194070614216706,in,NO,YES,0,1421,"",Sat Oct 03 00:53:40 +0000 2020
1312194120337649664,in,NO,YES,0,63,"",Sat Oct 03 00:53:52 +0000 2020
1312194136561254400,in,NO,YES,0,64,"",Sat Oct 03 00:53:56 +0000 2020
1312194162733711361,in,NO,YES,0,63,"",Sat Oct 03 00:54:02 +0000 2020
1312194166474993664,in,NO,YES,0,64,"",Sat Oct 03 00:54:03 +0000 2020
1312194166512734208,in,NO,NO,2,0,ID,Sat Oct 03 00:54:03 +0000 2020
1312194190822916097,in,NO,YES,0,1421,"",Sat Oct 03 00:54:09 +0000 2020
1312194226092818432,in,NO,YES,0,63,"",Sat Oct 03 00:54:17 +0000 2020
1312194244585512960,in,NO,YES,0,64,"",Sat Oct 03 00:54:21 +0000 2020
1312194255117377537,in,NO,YES,0,64,"",Sat Oct 03 00:54:24 +0000 2020
1312194445886930946,in,NO,YES,0,37,"",Sat Oct 03 00:55:09 +0000 2020
1312194474802438144,in,NO,YES,0,65,"",Sat Oct 03 00:55:16 +0000 2020
1312194494754820098,in,NO,YES,0,64,"",Sat Oct 03 00:55:21 +0000 2020
1312194502308716544,in,NO,YES,0,64,"",Sat Oct 03 00:55:23 +0000 2020
1312194590133284864,in,NO,NO,1,0,"",Sat Oct 03 00:55:44 +0000 2020
1312194604255518720,in,NO,NO,0,0,"",Sat Oct 03 00:55:47 +0000 2020
1312194696978984961,in,NO,YES,0,65,"",Sat Oct 03 00:56:09 +0000 2020
1312194715387748353,in,NO,YES,0,64,"",Sat Oct 03 00:56:14 +0000 2020
1312194924226338816,in,NO,YES,0,64,"",Sat Oct 03 00:57:03 +0000 2020
1312195277848145921,in,NO,NO,1,0,"",Sat Oct 03 00:58:28 +0000 2020
1312195364854788097,in,NO,YES,0,6,"",Sat Oct 03 00:58:49 +0000 2020
1312195393493458952,in,NO,YES,0,78,"",Sat Oct 03 00:58:55 +0000 2020
1312181389098246144,en,NO,YES,0,16,"",Sat Oct 03 00:03:16 +0000 2020
1312182039177654273,en,NO,YES,0,16,"",Sat Oct 03 00:05:51 +0000 2020
1312183562196545537,en,NO,YES,0,14,"",Sat Oct 03 00:11:55 +0000 2020
1312184125093105664,en,NO,NO,0,0,"",Sat Oct 03 00:14:09 +0000 2020
1312185520106041346,en,NO,NO,1,0,"",Sat Oct 03 00:19:41 +0000 2020
1312185820732776448,en,NO,NO,0,0,"",Sat Oct 03 00:20:53 +0000 2020
1312187774414405634,en,NO,NO,0,0,"",Sat Oct 03 00:28:39 +0000 2020
1312188152962973696,en,NO,YES,0,1,"",Sat Oct 03 00:30:09 +0000 2020
1312189541243973633,en,NO,NO,0,0,"",Sat Oct 03 00:35:40 +0000 2020
1312189644981723137,en,NO,NO,0,0,"",Sat Oct 03 00:36:05 +0000 2020
1312189843594604544,en,NO,YES,0,5,"",Sat Oct 03 00:36:52 +0000 2020
1312190626289475586,en,NO,NO,0,0,"",Sat Oct 03 00:39:59 +0000 2020
1312190662708662274,en,NO,NO,1,0,"",Sat Oct 03 00:40:07 +0000 2020
1312190719738540032,en,NO,NO,0,0,"",Sat Oct 03 00:40:21 +0000 2020
1312192816026587137,en,NO,NO,0,0,"",Sat Oct 03 00:48:41 +0000 2020
1312194357168992256,und,NO,NO,0,1,"",Sat Oct 03 00:54:48 +0000 2020
1312180741791346688,in,NO,NO,0,0,"",Sat Oct 03 00:00:42 +0000 2020
1312183909938089984,in,NO,YES,0,7,"",Sat Oct 03 00:13:17 +0000 2020
1312186121502167040,in,NO,YES,0,45,"",Sat Oct 03 00:22:05 +0000 2020
1312188127428009985,in,NO,YES,0,45,"",Sat Oct 03 00:30:03 +0000 2020
1312194541273837568,in,NO,YES,0,45,"",Sat Oct 03 00:55:32 +0000 2020
1312194543127687169,in,NO,YES,0,45,"",Sat Oct 03 00:55:33 +0000 2020
1312180563864846337,es,NO,NO,0,0,"",Sat Oct 03 00:00:00 +0000 2020
1312180564607168512,en,NO,NO,1,0,"",Sat Oct 03 00:00:00 +0000 2020
1312180565026598913,en,NO,NO,0,1,"",Sat Oct 03 00:00:00 +0000 2020
1312180565198729217,en,NO,NO,6,0,"",Sat Oct 03 00:00:00 +0000 2020
1312180565227917313,es,NO,NO,5,2,"",Sat Oct 03 00:00:00 +0000 2020
1312180565253160961,es,NO,NO,1,1,"",Sat Oct 03 00:00:00 +0000 2020
1312180565366444032,es,NO,NO,6,2,"",Sat Oct 03 00:00:00 +0000 2020
1312180565383303169,es,NO,NO,8,1,"",Sat Oct 03 00:00:00 +0000 2020
1312180565475504128,es,NO,NO,16,6,"",Sat Oct 03 00:00:00 +0000 2020
1312180565563576320,en,NO,NO,2,2,"",Sat Oct 03 00:00:00 +0000 2020
1312180565676716032,en,NO,YES,0,5969,"",Sat Oct 03 00:00:00 +0000 2020
1312180565697724416,es,NO,NO,0,0,"",Sat Oct 03 00:00:00 +0000 2020
1312180565718704128,en,NO,YES,0,10278,"",Sat Oct 03 00:00:00 +0000 2020
1312180565723041794,en,NO,NO,89,41,"",Sat Oct 03 00:00:00 +0000 2020
1312180565760634883,en,NO,YES,0,3149,"",Sat Oct 03 00:00:00 +0000 2020
1312180565815119872,en,NO,YES,0,8897,"",Sat Oct 03 00:00:00 +0000 2020
1312180565823483907,es,NO,NO,14,8,"",Sat Oct 03 00:00:00 +0000 2020
1312180565844668418,es,NO,NO,4,1,"",Sat Oct 03 00:00:00 +0000 2020
1312180565882343425,es,NO,NO,0,0,"",Sat Oct 03 00:00:00 +0000 2020
1312180565894807553,es,NO,NO,1,0,"",Sat Oct 03 00:00:00 +0000 2020
1312180565911629824,en,NO,NO,0,0,"",Sat Oct 03 00:00:00 +0000 2020
1312180565928366080,en,NO,YES,0,2,"",Sat Oct 03 00:00:00 +0000 2020
1312180565932568578,en,NO,NO,35,0,"",Sat Oct 03 00:00:00 +0000 2020
1312180565945315328,en,NO,NO,13,10,"",Sat Oct 03 00:00:00 +0000 2020
1312180565953572866,es,NO,NO,0,0,"",Sat Oct 03 00:00:00 +0000 2020
1312180565966163968,en,NO,NO,2,1,"",Sat Oct 03 00:00:00 +0000 2020
1312180565966168064,es,NO,NO,1,1,"",Sat Oct 03 00:00:00 +0000 2020
1312180566004051968,es,NO,NO,1,0,"",Sat Oct 03 00:00:00 +0000 2020
1312180566020640768,en,NO,NO,1,1,"",Sat Oct 03 00:00:00 +0000 2020
1312180566033301504,es,NO,NO,1,1,"",Sat Oct 03 00:00:00 +0000 2020
1312180566050009088,en,NO,NO,4,2,"",Sat Oct 03 00:00:00 +0000 2020
1312180566070980609,en,NO,NO,147,50,"",Sat Oct 03 00:00:00 +0000 2020
1312180566079406082,en,NO,YES,0,5320,"",Sat Oct 03 00:00:00 +0000 2020
1312180566100451329,es,NO,NO,7,3,"",Sat Oct 03 00:00:00 +0000 2020
1312180566129868800,en,NO,NO,4,1,"",Sat Oct 03 00:00:00 +0000 2020
1312180566146588672,pt,NO,NO,13,2,"",Sat Oct 03 00:00:00 +0000 2020
1312180566167490561,es,NO,NO,2,2,"",Sat Oct 03 00:00:00 +0000 2020
1312180566196850688,en,NO,YES,0,16,"",Sat Oct 03 00:00:00 +0000 2020
1312180566222090240,es,NO,NO,0,0,"",Sat Oct 03 00:00:00 +0000 2020
1312180566230364161,ca,NO,NO,0,0,"",Sat Oct 03 00:00:00 +0000 2020
1312180566234521602,en,NO,NO,4,1,"",Sat Oct 03 00:00:00 +0000 2020
1312180566234525697,en,NO,NO,2,0,"",Sat Oct 03 00:00:00 +0000 2020
1312180566247178240,en,NO,YES,0,6788,"",Sat Oct 03 00:00:00 +0000 2020
1312180566305906688,en,NO,YES,0,8,"",Sat Oct 03 00:00:00 +0000 2020
1312180566310047745,en,NO,YES,0,1,"",Sat Oct 03 00:00:00 +0000 2020
1312180566360379393,en,NO,YES,0,4373,"",Sat Oct 03 00:00:00 +0000 2020
1312180566381359104,en,NO,YES,0,554,"",Sat Oct 03 00:00:00 +0000 2020
1312180568986062848,en,NO,NO,0,0,"",Sat Oct 03 00:00:01 +0000 2020
1312180569766150144,en,NO,NO,3,0,"",Sat Oct 03 00:00:01 +0000 2020
1312180569850093569,en,NO,YES,0,3128,"",Sat Oct 03 00:00:01 +0000 2020
1312180569891954688,en,NO,NO,0,0,"",Sat Oct 03 00:00:01 +0000 2020
1312180569942355968,en,NO,YES,0,31213,"",Sat Oct 03 00:00:01 +0000 2020
1312180569984229376,es,NO,YES,0,443,"",Sat Oct 03 00:00:01 +0000 2020
1312180570013614083,es,NO,YES,0,667,"",Sat Oct 03 00:00:01 +0000 2020
1312180570177167363,en,NO,NO,0,0,"",Sat Oct 03 00:00:01 +0000 2020
1312180570181365761,en,NO,YES,0,298,"",Sat Oct 03 00:00:01 +0000 2020
1312180570223374337,en,NO,YES,0,1839,"",Sat Oct 03 00:00:01 +0000 2020
1312180570227503104,it,NO,NO,0,0,"",Sat Oct 03 00:00:01 +0000 2020
1312180570332426240,en,NO,NO,5,0,"",Sat Oct 03 00:00:01 +0000 2020
1312180570340823042,es,NO,YES,0,61,"",Sat Oct 03 00:00:01 +0000 2020
1312180570361786370,en,NO,YES,0,112,"",Sat Oct 03 00:00:01 +0000 2020
1312180570491764737,en,NO,YES,0,1580,"",Sat Oct 03 00:00:01 +0000 2020
1312180570554728448,pt,NO,YES,0,632,"",Sat Oct 03 00:00:01 +0000 2020
1312180570613407745,en,NO,YES,0,12614,"",Sat Oct 03 00:00:01 +0000 2020
1312180570642804737,en,NO,NO,2,0,"",Sat Oct 03 00:00:01 +0000 2020
1312180570667970563,en,NO,YES,0,40304,"",Sat Oct 03 00:00:01 +0000 2020
1312180570760179712,en,NO,YES,0,4,"",Sat Oct 03 00:00:01 +0000 2020
1312180570772832258,es,NO,NO,1,0,"",Sat Oct 03 00:00:01 +0000 2020
1312180570810511360,en,NO,NO,1,0,"",Sat Oct 03 00:00:01 +0000 2020
1312180570810580993,en,NO,YES,0,21236,"",Sat Oct 03 00:00:01 +0000 2020
1312180570823118849,en,NO,NO,0,0,"",Sat Oct 03 00:00:01 +0000 2020
1312180570835697664,en,NO,YES,0,12227,"",Sat Oct 03 00:00:01 +0000 2020
1312180570839904257,es,NO,YES,0,5,"",Sat Oct 03 00:00:01 +0000 2020
1312180570886008832,en,NO,YES,0,225,"",Sat Oct 03 00:00:01 +0000 2020
1312180570886086656,en,NO,YES,0,4988,"",Sat Oct 03 00:00:01 +0000 2020
1312180570894467072,en,NO,YES,0,790,"",Sat Oct 03 00:00:01 +0000 2020
1312180570907054080,es,NO,YES,0,3,"",Sat Oct 03 00:00:01 +0000 2020
1312180573461307392,en,NO,YES,0,10691,"",Sat Oct 03 00:00:02 +0000 2020
1312180573826248704,und,NO,YES,0,40,"",Sat Oct 03 00:00:02 +0000 2020
1312180573880770560,en,NO,NO,2,0,"",Sat Oct 03 00:00:02 +0000 2020
1312180574006595584,en,NO,YES,0,56670,"",Sat Oct 03 00:00:02 +0000 2020
1312180574111428609,en,NO,NO,1,0,"",Sat Oct 03 00:00:02 +0000 2020
1312180574220550144,en,NO,NO,0,0,"",Sat Oct 03 00:00:02 +0000 2020
1312180574224744448,en,NO,YES,0,1860,"",Sat Oct 03 00:00:02 +0000 2020
1312180574279270400,en,NO,YES,0,1,"",Sat Oct 03 00:00:02 +0000 2020
1312180574300241920,en,NO,YES,0,93,"",Sat Oct 03 00:00:02 +0000 2020
