Date_Created,Tweet_ID,Language
Sun Mar 01 04:41:50 +0000 2020,1233975710135484416,en
Sun Mar 01 04:41:51 +0000 2020,1233975717760847872,en
Sun Mar 01 04:43:05 +0000 2020,1233976024670654464,en
Sun Mar 01 04:45:16 +0000 2020,1233976576573730816,en
Sun Mar 01 04:46:39 +0000 2020,1233976923447058432,en
Sun Mar 01 04:47:01 +0000 2020,1233977016698966016,en
Sun Mar 01 04:47:41 +0000 2020,1233977183435018240,en
Sun Mar 01 04:48:47 +0000 2020,1233977462867906560,en
Sun Mar 01 04:49:06 +0000 2020,1233977538705125377,en
Sun Mar 01 04:51:03 +0000 2020,1233978030969774082,en
Sun Mar 01 04:54:13 +0000 2020,1233978827140784134,en
Sun Mar 01 04:54:16 +0000 2020,1233978841627914241,en
Sun Mar 01 05:03:53 +0000 2020,1233981261582159872,en
Sun Mar 01 05:05:01 +0000 2020,1233981548115849216,en
Sun Mar 01 05:06:04 +0000 2020,1233981808993193986,en
Sun Mar 01 05:08:32 +0000 2020,1233982431348178944,en
Sun Mar 01 05:10:50 +0000 2020,1233983010296520705,en
Sun Mar 01 05:12:26 +0000 2020,1233983410693079041,en
Sun Mar 01 05:12:59 +0000 2020,1233983550749208577,en
Sun Mar 01 05:18:02 +0000 2020,1233984821979779072,und
Sun Mar 01 05:19:03 +0000 2020,1233985075789721600,en
Sun Mar 01 05:19:21 +0000 2020,1233985153946374144,en
Sun Mar 01 05:21:36 +0000 2020,1233985718541676544,ja
Sun Mar 01 05:22:10 +0000 2020,1233985860116217856,en
Sun Mar 01 05:25:02 +0000 2020,1233986584044765185,en
Sun Mar 01 05:25:17 +0000 2020,1233986647756328960,und
Sun Mar 01 05:27:49 +0000 2020,1233987284028006401,en
Sun Mar 01 05:29:47 +0000 2020,1233987779341754368,en
Sun Mar 01 05:30:26 +0000 2020,1233987940679856128,en
Sun Mar 01 05:33:27 +0000 2020,1233988699806949376,en
Sun Mar 01 05:38:22 +0000 2020,1233989938225590272,en
Sun Mar 01 05:39:54 +0000 2020,1233990324474675200,en
Sun Mar 01 05:42:00 +0000 2020,1233990851686281217,en
Sun Mar 01 05:43:15 +0000 2020,1233991168024813568,en
Sun Mar 01 05:43:28 +0000 2020,1233991223855046661,en
Sun Mar 01 05:49:18 +0000 2020,1233992689282093056,en
Sun Mar 01 06:07:15 +0000 2020,1233997209651290123,ja
Sun Mar 01 06:07:55 +0000 2020,1233997374621544449,zh
Sun Mar 01 06:17:08 +0000 2020,1233999693232783366,en
Sun Mar 01 06:17:23 +0000 2020,1233999758345113600,en
Sun Mar 01 06:17:27 +0000 2020,1233999774719696897,en
Sun Mar 01 06:20:12 +0000 2020,1234000466993991681,en
Sun Mar 01 06:25:54 +0000 2020,1234001902137942021,en
Sun Mar 01 06:26:40 +0000 2020,1234002092882198528,en
Sun Mar 01 06:28:40 +0000 2020,1234002598933327872,en
Sun Mar 01 06:28:42 +0000 2020,1234002607602929664,en
Sun Mar 01 06:39:15 +0000 2020,1234005260391219200,en
Sun Mar 01 06:40:59 +0000 2020,1234005698473680896,en
Sun Mar 01 06:43:42 +0000 2020,1234006378613620736,en
Sun Mar 01 06:47:36 +0000 2020,1234007359938162690,en
Sun Mar 01 06:51:43 +0000 2020,1234008399911772160,en
Sun Mar 01 06:55:43 +0000 2020,1234009404124495872,en
Sun Mar 01 07:00:41 +0000 2020,1234010654375235584,en
Sun Mar 01 07:03:18 +0000 2020,1234011311031242752,en
Sun Mar 01 07:03:19 +0000 2020,1234011316257349632,zh
Sun Mar 01 07:04:40 +0000 2020,1234011658965536770,zh
Sun Mar 01 07:05:52 +0000 2020,1234011958665457664,en
Sun Mar 01 07:05:58 +0000 2020,1234011982375870465,en
Sun Mar 01 07:06:50 +0000 2020,1234012203327639552,en
Sun Mar 01 07:08:14 +0000 2020,1234012553694588928,en
Sun Mar 01 07:08:14 +0000 2020,1234012556550782977,en
Sun Mar 01 07:09:02 +0000 2020,1234012757227450369,en
Sun Mar 01 07:09:38 +0000 2020,1234012906066497536,en
Sun Mar 01 07:10:50 +0000 2020,1234013207758503936,en
Sun Mar 01 07:14:19 +0000 2020,1234014084003172353,zh
Sun Mar 01 07:16:09 +0000 2020,1234014548580950017,en
Sun Mar 01 07:18:02 +0000 2020,1234015020817821697,en
Sun Mar 01 07:19:19 +0000 2020,1234015343221276673,en
Sun Mar 01 07:20:46 +0000 2020,1234015707597279232,es
Sun Mar 01 07:21:09 +0000 2020,1234015804489969664,en
Sun Mar 01 07:22:06 +0000 2020,1234016045851037696,en
Sun Mar 01 07:22:46 +0000 2020,1234016213229035520,en
Sun Mar 01 07:23:42 +0000 2020,1234016448152047618,en
Sun Mar 01 07:24:50 +0000 2020,1234016732475514880,en
Sun Mar 01 07:24:54 +0000 2020,1234016746773733377,en
Sun Mar 01 07:25:09 +0000 2020,1234016811487641600,en
Sun Mar 01 07:25:21 +0000 2020,1234016860204666880,pl
Sun Mar 01 07:29:51 +0000 2020,1234017993727860736,en
