"","Geo_Location","Date_Created"
"475963","{type: Point, coordinates: [44.83535051, -93.47816354]}","Fri Mar 13 01:41:28 +0000 2020"
"480521","{type: Point, coordinates: [35.48714905, -82.53508512]}","Fri Mar 13 02:52:05 +0000 2020"
"485370","{type: Point, coordinates: [26.01, -80.2917]}","Fri Mar 13 03:58:17 +0000 2020"
"486244","{type: Point, coordinates: [20.64692707, -105.23903335]}","Fri Mar 13 04:11:34 +0000 2020"
"487374","{type: Point, coordinates: [6.31667, 99.85]}","Fri Mar 13 04:27:57 +0000 2020"
"487941","{type: Point, coordinates: [33.94246099, -118.40812325]}","Fri Mar 13 04:39:32 +0000 2020"
"494145","{type: Point, coordinates: [49.75732533, 18.63853455]}","Fri Mar 13 06:10:21 +0000 2020"
"494816","{type: Point, coordinates: [8.51652191, -80.10838316]}","Fri Mar 13 06:23:12 +0000 2020"
"496610","{type: Point, coordinates: [-33.82688, 151.20146]}","Fri Mar 13 06:43:56 +0000 2020"
"501920","{type: Point, coordinates: [-25.0824958, 30.4246602]}","Fri Mar 13 08:08:37 +0000 2020"
"505770","{type: Point, coordinates: [-31.9522, 115.859]}","Fri Mar 13 08:59:31 +0000 2020"
"511249","{type: Point, coordinates: [33.75403, -84.37986]}","Fri Mar 13 10:25:06 +0000 2020"
"514455","{type: Point, coordinates: [13.78556003, 100.74634999]}","Fri Mar 13 11:11:52 +0000 2020"
"519677","{type: Point, coordinates: [5.55, -0.2]}","Fri Mar 13 12:26:20 +0000 2020"
"520980","{type: Point, coordinates: [43.93784798, 7.92948961]}","Fri Mar 13 12:42:29 +0000 2020"
"524550","{type: Point, coordinates: [41.4075367, 27.34978979]}","Fri Mar 13 13:40:52 +0000 2020"
"524718","{type: Point, coordinates: [26.3582748, -81.7458845]}","Fri Mar 13 13:41:39 +0000 2020"
"524947","{type: Point, coordinates: [40.5369, -75.4958]}","Fri Mar 13 13:42:28 +0000 2020"
"525716","{type: Point, coordinates: [40.7207559, -74.0007613]}","Fri Mar 13 13:56:41 +0000 2020"
"526685","{type: Point, coordinates: [41.883222, -87.632496]}","Fri Mar 13 14:11:44 +0000 2020"
"527770","{type: Point, coordinates: [42.3356202, -71.137622]}","Fri Mar 13 14:27:06 +0000 2020"
