,Year,Month,Day,Sentiment,Count,Avg_Per
408,2020,6,5,positive,114832,0.07795049
409,2020,6,6,negative,1299103,0.489688475
410,2020,6,6,neutral,1113715,0.421617071
411,2020,6,6,positive,233194,0.088694454
412,2020,6,7,negative,1387285,0.53347208
413,2020,6,7,neutral,998665,0.384452882
414,2020,6,7,positive,215192,0.082075038
415,2020,6,8,negative,1176269,0.464081471
416,2020,6,8,neutral,1120393,0.439295071
417,2020,6,8,positive,248729,0.096623458
418,2020,6,9,negative,1204569,0.446635546
419,2020,6,9,neutral,1244284,0.458347956
420,2020,6,9,positive,262520,0.095016498
421,2020,6,10,negative,1336280,0.45881865
422,2020,6,10,neutral,1296358,0.442011352
423,2020,6,10,positive,291954,0.099169999
424,2020,6,11,negative,1321069,0.437524664
425,2020,6,11,neutral,1405301,0.466613898
426,2020,6,11,positive,289951,0.095861438
427,2020,6,12,negative,1363457,0.454616811
428,2020,6,12,neutral,1336712,0.446419252
429,2020,6,12,positive,297217,0.098963936
430,2020,6,13,negative,1402478,0.485367695
431,2020,6,13,neutral,1200707,0.415992216
432,2020,6,13,positive,286161,0.09864009
433,2020,6,14,negative,1450128,0.51729725
434,2020,6,14,neutral,1068296,0.384700154
435,2020,6,14,positive,273345,0.098002595
436,2020,6,15,negative,1619914,0.502106036
437,2020,6,15,neutral,1328774,0.412837907
438,2020,6,15,positive,274508,0.085056057
439,2020,6,16,negative,1437913,0.459014934
440,2020,6,16,neutral,1437420,0.459615246
441,2020,6,16,positive,257735,0.08136982
442,2020,6,17,negative,1443361,0.462769985
443,2020,6,17,neutral,1421201,0.456529321
444,2020,6,17,positive,253791,0.080700694
445,2020,6,18,negative,1312861,0.434301127
446,2020,6,18,neutral,1395896,0.460098524
447,2020,6,18,positive,317809,0.105600349
448,2020,6,19,negative,1220364,0.393748357
449,2020,6,19,neutral,1556689,0.505584362
450,2020,6,19,positive,312573,0.100667281
451,2020,6,20,negative,1246485,0.420790658
452,2020,6,20,neutral,1432476,0.483827569
453,2020,6,20,positive,286907,0.095381773
454,2020,6,21,negative,1460745,0.504070911
455,2020,6,21,neutral,1160605,0.405155406
456,2020,6,21,positive,260257,0.090773683
457,2020,6,22,negative,1444967,0.468152241
458,2020,6,22,neutral,1360929,0.437925311
459,2020,6,22,positive,284394,0.093922447
460,2020,6,23,negative,1580404,0.463926801
461,2020,6,23,neutral,1522507,0.450446858
462,2020,6,23,positive,292901,0.085626341
463,2020,6,24,negative,1501190,0.440636743
464,2020,6,24,neutral,1630577,0.480733975
465,2020,6,24,positive,267041,0.078629281
466,2020,6,25,negative,1716072,0.480539629
467,2020,6,25,neutral,1559078,0.437823905
468,2020,6,25,positive,288254,0.081636466
469,2020,6,26,negative,1858199,0.490574673
470,2020,6,26,neutral,1601400,0.424677332
471,2020,6,26,positive,320788,0.084747995
472,2020,6,27,negative,1628246,0.473899912
473,2020,6,27,neutral,1499337,0.436809349
474,2020,6,27,positive,309405,0.089290739
475,2020,6,28,negative,1628051,0.479261848
476,2020,6,28,neutral,1487961,0.435846618
477,2020,6,28,positive,285082,0.084891534
478,2020,6,29,negative,1635983,0.473323798
479,2020,6,29,neutral,1544968,0.446777562
480,2020,6,29,positive,278691,0.07989864
481,2020,6,30,negative,1842600,0.48956701
482,2020,6,30,neutral,1618341,0.432867971
483,2020,6,30,positive,291377,0.07756502
484,2020,7,1,negative,1799952,0.478112249
485,2020,7,1,neutral,1572422,0.419714142
486,2020,7,1,positive,380382,0.102173609
487,2020,7,2,negative,1697218,0.471158561
488,2020,7,2,neutral,1583988,0.43972185
489,2020,7,2,positive,323262,0.089119589
490,2020,7,3,negative,1682233,0.461997181
491,2020,7,3,neutral,1569324,0.433878163
492,2020,7,3,positive,381075,0.104124656
493,2020,7,4,negative,1636422,0.472370743
494,2020,7,4,neutral,1416034,0.410919243
495,2020,7,4,positive,404988,0.116710015
496,2020,7,5,negative,1653266,0.484968791
497,2020,7,5,neutral,1428911,0.422294673
498,2020,7,5,positive,308958,0.092736536
499,2020,7,6,negative,1808494,0.48459523
500,2020,7,6,neutral,1624526,0.438197415
501,2020,7,6,positive,284400,0.077207355
502,2020,7,7,negative,1618622,0.460727715
503,2020,7,7,neutral,1642469,0.464991468
504,2020,7,7,positive,260154,0.074280817
505,2020,7,8,negative,1641766,0.452338085
506,2020,7,8,neutral,1691603,0.467733638
507,2020,7,8,positive,289676,0.079928277
508,2020,7,9,negative,1555942,0.450747
509,2020,7,9,neutral,1611279,0.467160039
510,2020,7,9,positive,283799,0.082092961
511,2020,7,10,negative,1612422,0.495094759
512,2020,7,10,neutral,1362093,0.417572527
513,2020,7,10,positive,289704,0.087332714
514,2020,7,11,negative,1470493,0.463031955
515,2020,7,11,neutral,1328274,0.436133978
516,2020,7,11,positive,316961,0.100834067
517,2020,7,12,negative,1285886,0.451882603
518,2020,7,12,neutral,1241469,0.435524229
519,2020,7,12,positive,317844,0.112593168
520,2020,7,13,negative,1841312,0.458565732
521,2020,7,13,neutral,1764618,0.443403597
522,2020,7,13,positive,385187,0.098030671
523,2020,7,14,negative,1742244,0.468496832
524,2020,7,14,neutral,1691137,0.45410547
525,2020,7,14,positive,287513,0.077397698
526,2020,7,15,negative,1996229,0.499907867
527,2020,7,15,neutral,1697182,0.426557757
528,2020,7,15,positive,290065,0.073534376
529,2020,7,16,negative,1977195,0.510158922
530,2020,7,16,neutral,1650048,0.426212962
531,2020,7,16,positive,244262,0.063628116
532,2020,7,17,negative,1923943,0.500872709
533,2020,7,17,neutral,1649018,0.430188427
534,2020,7,17,positive,263648,0.068938864
535,2020,7,18,negative,1621635,0.467100916
536,2020,7,18,neutral,1529013,0.44394972
537,2020,7,18,positive,305081,0.088949365
538,2020,7,19,negative,1682374,0.481884702
539,2020,7,19,neutral,1475774,0.424256122
540,2020,7,19,positive,324834,0.093859175
541,2020,7,20,negative,1530898,0.47247281
542,2020,7,20,neutral,1420748,0.437497286
543,2020,7,20,positive,288230,0.090029904
544,2020,7,21,negative,1555751,0.459969037
545,2020,7,21,neutral,1519707,0.446603242
546,2020,7,21,positive,313095,0.093427721
547,2020,7,22,negative,1484759,0.436198031
548,2020,7,22,neutral,1572444,0.466655088
549,2020,7,22,positive,327083,0.097146881
550,2020,7,23,negative,1490028,0.456195621
551,2020,7,23,neutral,1450689,0.446840162
552,2020,7,23,positive,314388,0.096964216
553,2020,7,24,negative,1418079,0.454885939
554,2020,7,24,neutral,1411837,0.451570043
555,2020,7,24,positive,290388,0.093544019
556,2020,7,25,negative,1404785,0.448567701
557,2020,7,25,neutral,1475931,0.469340585
558,2020,7,25,positive,258984,0.082091714
559,2020,7,26,negative,1417240,0.476398021
560,2020,7,26,neutral,1307287,0.441034626
561,2020,7,26,positive,245698,0.082567354
562,2020,7,27,negative,1460828,0.441167151
563,2020,7,27,neutral,1535958,0.465478308
564,2020,7,27,positive,308827,0.093354541
565,2020,7,28,negative,1705072,0.459894232
566,2020,7,28,neutral,1713376,0.464423465
567,2020,7,28,positive,277755,0.075682303
568,2020,7,29,negative,1536426,0.428348507
569,2020,7,29,neutral,1711198,0.479788326
570,2020,7,29,positive,330152,0.091863167
571,2020,7,30,negative,1695378,0.47233572
572,2020,7,30,neutral,1585219,0.443587848
573,2020,7,30,positive,296939,0.084076432
574,2020,7,31,negative,1552115,0.449061033
575,2020,7,31,neutral,1590447,0.461330405
576,2020,7,31,positive,311090,0.089608561
577,2020,8,1,negative,1366555,0.448543468
578,2020,8,1,neutral,1365094,0.450718949
579,2020,8,1,positive,305727,0.100737583
580,2020,8,2,negative,1485374,0.456430721
581,2020,8,2,neutral,1485085,0.458436418
582,2020,8,2,positive,275067,0.085132861
583,2020,8,3,negative,1434976,0.463708517
584,2020,8,3,neutral,1385445,0.447931939
585,2020,8,3,positive,272010,0.088359544
586,2020,8,4,negative,1614891,0.479214272
587,2020,8,4,neutral,1462115,0.436916828
588,2020,8,4,positive,279321,0.083868901
589,2020,8,5,negative,1309972,0.452782999
590,2020,8,5,neutral,1323542,0.45951096
591,2020,8,5,positive,253278,0.087706041
592,2020,8,6,negative,1476609,0.47859376
593,2020,8,6,neutral,1368328,0.442948603
594,2020,8,6,positive,243074,0.078457637
595,2020,8,7,negative,1425240,0.458677095
596,2020,8,7,neutral,1401477,0.454058269
597,2020,8,7,positive,270831,0.087264636
598,2020,8,8,negative,1352948,0.489330911
599,2020,8,8,neutral,1134827,0.409734641
600,2020,8,8,positive,279584,0.100934448
601,2020,8,9,negative,1526275,0.496265094
602,2020,8,9,neutral,1298335,0.420875522
603,2020,8,9,positive,251729,0.082859384
604,2020,8,10,negative,1605333,0.464590254
605,2020,8,10,neutral,1495852,0.436911825
606,2020,8,10,positive,331673,0.098497921
