"","Geo_Location","Date_Created"
"1054295","{type: Point, coordinates: [32.7774, -96.7977]}","Thu Feb 20 17:23:58 +0000 2020"
"1056051","{type: Point, coordinates: [34.13328064, -118.29997659]}","Thu Feb 20 18:12:07 +0000 2020"
"1071512","{type: Point, coordinates: [0.0666667, 111.5]}","Fri Feb 21 02:27:42 +0000 2020"
"1074330","{type: Point, coordinates: [55.852472, -4.309626]}","Fri Feb 21 03:45:17 +0000 2020"
"1087084","{type: Point, coordinates: [14.63927286, 121.03634781]}","Fri Feb 21 08:02:24 +0000 2020"
"1092493","{type: Point, coordinates: [49.22826439, -123.04986139]}","Fri Feb 21 10:03:04 +0000 2020"
"1092496","{type: Point, coordinates: [49.22826439, -123.04986139]}","Fri Feb 21 10:03:05 +0000 2020"
"1098944","{type: Point, coordinates: [45.79642434, 8.41971495]}","Fri Feb 21 12:34:01 +0000 2020"
"1101392","{type: Point, coordinates: [1.29345832, 103.78384549]}","Fri Feb 21 13:20:31 +0000 2020"
"1108429","{type: Point, coordinates: [8.96389499, 7.42936372]}","Fri Feb 21 15:35:32 +0000 2020"
"1113361","{type: Point, coordinates: [45.4643, 9.1897]}","Fri Feb 21 17:19:42 +0000 2020"
"1114492","{type: Point, coordinates: [18.5, -69.9833]}","Fri Feb 21 17:36:57 +0000 2020"
"1116431","{type: Point, coordinates: [39.95942696, -82.98070682]}","Fri Feb 21 18:19:36 +0000 2020"
"1116548","{type: Point, coordinates: [45.5038, -73.5744]}","Fri Feb 21 18:20:18 +0000 2020"
"1118615","{type: Point, coordinates: [45.49597, 12.24416]}","Fri Feb 21 18:53:15 +0000 2020"
"1125687","{type: Point, coordinates: [51.50711486, -0.12731805]}","Fri Feb 21 21:20:45 +0000 2020"
"1126967","{type: Point, coordinates: [45.62631, 9.32175]}","Fri Feb 21 21:39:52 +0000 2020"
"1127075","{type: Point, coordinates: [45.4497076, 9.1977995]}","Fri Feb 21 21:50:55 +0000 2020"
